Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 18.98      0.48     0.48 58834984     0.00     0.00  sub_framework::SubTaskMgr::_get_instance()
 17.00      0.91     0.43 58835097     0.00     0.00  std::deque<sub_framework::SubTask*, std::allocator<sub_framework::SubTask*> >::empty() const
 16.60      1.33     0.42 58835089     0.00     0.00  bool std::operator==<sub_framework::SubTask*, sub_framework::SubTask*&, sub_framework::SubTask**>(std::_Deque_iterator<sub_framework::SubTask*, sub_framework::SubTask*&, sub_framework::SubTask**> const&, std::_Deque_iterator<sub_framework::SubTask*, sub_framework::SubTask*&, sub_framework::SubTask**> const&)
 15.81      1.73     0.40 58833405     0.00     0.00  sub_framework::SubTaskMgr::_get_task()
 11.46      2.02     0.29        2     0.15     1.17  sub_framework::SubThreadHandler::_thread_proc_handler(void*)
  9.29      2.26     0.24 58835046     0.00     0.00  std::queue<sub_framework::SubTask*, std::deque<sub_framework::SubTask*, std::allocator<sub_framework::SubTask*> > >::empty() const
  6.33      2.42     0.16                             sub_framework::SubTask::~SubTask()
  1.78      2.46     0.05     4712     0.00     0.00  std::_Rb_tree_iterator<std::pair<std::string const, int (*)(void*, void*)> >::operator==(std::_Rb_tree_iterator<std::pair<std::string const, int (*)(void*, void*)> > const&) const
  1.19      2.49     0.03     1140     0.00     0.00  sub_framework::SubTaskMgr::_add_task(sub_framework::SubTask*)
  0.79      2.51     0.02     7855     0.00     0.00  std::_Rb_tree_iterator<std::pair<std::string const, int (*)(void*, void*)> >::_Rb_tree_iterator(std::_Rb_tree_node<std::pair<std::string const, int (*)(void*, void*)> >*)
  0.40      2.52     0.01     4711     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, int (*)(void*, void*)>, std::_Select1st<std::pair<std::string const, int (*)(void*, void*)> >, std::less<std::string>, std::allocator<std::pair<std::string const, int (*)(void*, void*)> > >::end()
  0.40      2.53     0.01     2417     0.00     0.00  std::map<int, std::vector<char*, std::allocator<char*> >, std::less<int>, std::allocator<std::pair<int const, std::vector<char*, std::allocator<char*> > > > >::operator[](int const&)
  0.00      2.53     0.00    61145     0.00     0.00  std::less<int>::operator()(int const&, int const&) const
  0.00      2.53     0.00    59575     0.00     0.00  std::_Select1st<std::pair<int const, std::vector<char*, std::allocator<char*> > > >::operator()(std::pair<int const, std::vector<char*, std::allocator<char*> > > const&) const
